股票代码,股票简称,业绩预告类型[20240630],业绩预告摘要[20240630]
688325.SH,赛微微电,大幅上升,预计2024-01-01到2024-06-30业绩：净利润3050万元左右;增长幅度为570%左右;上年同期业绩:净利润454.01万元;
300709.SZ,精研科技,扭亏,预计2024-01-01到2024-06-30业绩：净利润5400.00万元至6100.00万元;上年同期业绩:净利润-3660.77万元;
688018.SH,乐鑫科技,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润15164万元左右;增长幅度为135%左右;上年同期业绩:净利润6457.03万元,基本每股收益0.8059元;"
688123.SH,聚辰股份,大幅上升,预计2024-01-01到2024-06-30业绩：净利润14296.04万元左右;增长幅度为124.93%左右;上年同期业绩:净利润6355.84万元;
688233.SH,神工股份,扭亏,预计2024-01-01到2024-06-30业绩：净利润200万元至400万元;上年同期业绩:净利润-2369.95万元;
301062.SZ,上海艾录,大幅上升,预计2024-01-01到2024-06-30业绩：净利润5050万元至5500万元;增长幅度为51.64%至65.15%;上年同期业绩:净利润3330.30万元;
300558.SZ,贝达药业,大幅上升,预计2024-01-01到2024-06-30业绩：净利润20762.88万元至23729.01万元;增长幅度为40.00%至60.00%;上年同期业绩:净利润14830.63万元;
688279.SH,峰岹科技,预增,预计2024-01-01到2024-06-30业绩：净利润12202.07万元左右;增长幅度为46.68%左右;上年同期业绩:净利润8319.12万元;
688630.SH,芯碁微装,预增,预计2024-01-01到2024-06-30业绩：净利润9888.05万元至10251.42万元;增长幅度为36.06%至41.06%;上年同期业绩:净利润7267.42万元;
688720.SH,艾森股份,预增,预计2024-01-01到2024-06-30业绩：净利润1360.00万元左右;增长幅度为22.32%左右;
300151.SZ,昌红科技,预增,预计2024-01-01到2024-06-30业绩：净利润4600.00万元至5000.00万元;增长幅度为8.05%至17.45%;上年同期业绩:净利润4257.24万元;
