股票代码,股票简称,最新价,最新涨跌幅,预告净利润[20240630],业绩预告类型[20240630],上年同期净利润[20240630],预告净利润变动幅度[20240630],业绩预告日期[20240630],业绩变化原因[20240630],业绩预告摘要[20240630],预告净利润上限[20240630],预告净利润下限[20240630],market_code,code
002823.SZ,凯中精密,14.00,5.342,80000000.0,大幅上升,5990900.0,1235.3600000000001,20240625,"2024年半年度，公司业绩较上年同期大幅增长，主营业务盈利能力持续提升。
伴随新能源汽车三电集成化、高压化、轻量化，以及自动驾驶、车路云协同技术发展，市场对高技术要求的精密嵌塑零组件需求快速增长，公司新能源精密连接器等产品订单需求旺盛、定点项目量产后进入密集交付期，销售收入较快增长；同时，公司运营效能持续提升，新型工业化智能制造技改收效逐步释放，主营业务业绩进一步提升。
德国公司海外研产销一体化平台，为国际大客户提供本地配套，优势凸显，公司与核心客户深度绑定，不断获得海外市场平台型产品新项目定点。
多年头部客户同步研发，技术沉淀不断取得市场突破，在国内、外新能源汽车等市场领域快速拓展一线车企、知名 Tier1优质客户的定点，蓄力长期稳健增长。","预计2024-01-01到2024-06-30业绩：净利润7000万元至9000万元;增长幅度为1068.44%至1402.28%,基本每股收益0.24元至0.31元;上年同期业绩:净利润599.09万元,基本每股收益0.0209元;",90000000.0,70000000.0,33,002823
002408.SZ,齐翔腾达,5.48,-1.261,140000000.0,大幅上升,20439200.0,584.9549999999999,20240611,"　　1、主营业务（1）化工板块：2024年半年度，公司业绩较去年同期有大幅提升，主要原因如下：原料价格受供需关系影响出现小幅下降，产品盈利能力有所改善；随着经济复苏，需求逐步改善，产品价格开始出现回暖迹象，部分产品价格同比上升，特别是叔丁醇、顺丁橡胶、甲乙酮、MTBE等产品价格的上涨，对公司半年度业绩做出重要贡献；半年度公司加大产品出口力度，产品出口数量及金额同比大幅增长。
　　（2）国外贸易板块（原国外供应链业务）：报告期内，公司国外贸易板块加大海外市场拓展，区域业务量和交易价格上涨，半年度收入和利润同比增长。
　　2、山东能源集团成为公司控股股东后，公司借助股东优势压降融资成本，强化内部产业协同，经营效能持续提升。
　　3、管理提效：公司最大限度发挥产业链柔性生产优势、规模优势和成本优势，坚持以市场为导向、利润为目标、价格为龙头的精细化管理理念，持续开展增收节支、降本挖潜、清仓利库等活动，确保经营效益最大化。","预计2024-01-01到2024-06-30业绩：净利润13000万元至15000万元;增长幅度为536.03%至633.88%,基本每股收益0.0457元至0.0528元;上年同期业绩:净利润2043.92万元,基本每股收益0.01元;",150000000.0,130000000.0,33,002408
688076.SH,诺泰生物,72.20,-5.212,215000000.0,大幅上升,41852500.0,413.71,20240620,　　报告期内，得益于公司自主选择产品的持续放量及收入占比提升，公司2024年半年度业绩同比实现较大增长。,"预计2024-01-01到2024-06-30业绩：净利润18000万元至25000万元;增长幅度为330.08%至497.34%;上年同期业绩:净利润4185.25万元,基本每股收益0.20元;",250000000.0,180000000.0,17,688076
833171.BJ,国航远洋,3.95,-2.228,70000000.0,大幅上升,16516800.0,323.815,20240617,"　　2024年开年以来，福建国航远洋运输（集团）股份有限公司（以下简称“公司”）所在行业逐步企稳复苏，公司管理团队及时把握外贸航运市场机会，对内采取降本增效等措施，通过合理布局经营策略，公司业绩较2023年同期有较大幅度增长。经公司财务管理部初步核算，预计2024年半年度，公司可实现归属于上市公司股东的净利润同比同向上升，增长区间预计为263.27%-384.36%。
　　2024年年初至6月11日BDI均值为1821.25点，同比去年同期BDI均值1161.25，大幅上涨56.84%，其中波罗的海·巴拿马型船指数（BPI）四线2024年年初至6月11日平均期租金为14，507.16美元/天，同比去年同期的10，631.82美元/天上涨幅度为36.45%。公司的外贸运价和BDI指数密切相关，BDI的上涨给外贸运价带来较好的提升和预期，公司积极布局相关运营航线，自营运力超过70%投入到运价更具优势的外贸航线，使得2024年上半年业绩提升显著。随着2024年全球经济预期向好，航运市场正在迎来上升周期，BDI指数近期走势反映了干散货运输正在迎来下半年的季节性旺季。
　　2024年全球贸易态势向好，世界贸易组织预计，2024年全球贸易增长率为3.3%，随着航运脱碳政策的进一步趋严，叠加船舶新一轮的置换周期，国际航线船舶运力将出现局部供不应求的情况。国际海事组织（IMO）环保新规和欧盟碳关税（CBAM）的扩展，一定程度上增加航运行业的壁垒，同时天气因素和地区突发事件带来的区域性运力紧张局面将成为“新常态”，有效运力供给受限。从2024年供需基本面分析整体干散货运输市场价格会有一个较好的支撑。",预计2024-01-01到2024-06-30业绩：净利润6000万元至8000万元;增长幅度为263.27%至384.36%;上年同期业绩:净利润1651.68万元;,80000000.0,60000000.0,151,833171
002437.SZ,誉衡药业,1.94,10.227,115000000.0,大幅上升,28249000.0,307.09000000000003,20240703,"　　1、2024年上半年，公司持续推进营销改革，部分核心产品销量实现较快增长，如安脑丸/片、注射用多种维生素（12）。
　　2、2024年上半年，公司继续加强内部管理，降本增效工作取得明显成果，销售费用、管理费用、财务费用较去年同期均有所下降。
　　3、公司于2023年出售了持有的广州誉衡生物科技有限公司（以下简称“誉衡生物”）全部股权，誉衡生物的亏损不再影响公司2024年半年度损益。
　　4、2024年3月，公司下属子公司西藏普德医药有限公司收到政府补助2,812.69万元，该事项对公司归属于上市公司股东的净利润的影响为2,271.25万元，此部分为非经常性损益。","预计2024-01-01到2024-06-30业绩：净利润10000.00万元至13000.00万元;增长幅度为253.99%至360.19%,基本每股收益0.0445元至0.0579元;上年同期业绩:净利润2824.90万元,基本每股收益0.0129元;",130000000.0,100000000.0,33,002437
603668.SH,天马科技,12.34,2.237,57500000.0,扭亏,-28116100.0,304.50919999999996,20240622,"　　2024年，世界经济仍处于缓慢复苏和深度调整中，我国经济回升向好态势持续巩固增强。报告期内，公司持续优化产业布局和结构调整，全面推进鳗鲡一二三产业链融合发展，坚定世界级全产业链食品供应链平台建设，形成以“鳗鲡产业为中心，四大战略性板块”协同发展的产业格局。当前，公司健康食品、安全饲料、智慧养殖等现代渔牧全产业链各业务板块均保持稳健发展，产业链布局日臻完善。
　　饲料业务方面，近年来，我国饲料产业进入了加速整合和产业结构调整升级阶段，行业逐渐向规模化和集中化转变。报告期内，受养殖业行情和产业形势变化影响，公司积极适应市场需求变化，通过加强营销队伍建设和原料成本控制，加快产品结构调整和产业链布局，加大科技创新和服务模式创新力度等系列措施，持续提升公司治理水平和经营效率，不断增强市场核心竞争力。2024年上半年，公司饲料端毛利率回升，随着下游需求逐步恢复、新增产能利用率不断提升，公司的降本增效和规模效应将进一步凸显，盈利能力改善趋势有望持续。
　　鳗鲡全产业链方面，公司稳步推进八大渔业产业集群、两大万亩产业基地建设和国家级现代农业（鳗鱼）高新技术产业园区建设，公司福建、广东、江西、湖北、广西等养殖基地按计划持续放量出鱼。报告期内，公司养殖业务产能大幅释放并延续快速增长态势，鳗鲡出池量历史同期首次突破7,000吨，养殖端毛利率持续保持较高水平。未来，公司鳗鲡生态智慧养殖业务受益于较高市场景气度，叠加公司养殖产业基地建设项目的推进和产能的有效释放，有望持续为公司带来稳定的利润贡献。
　　食品业务方面，公司形成了以“鳗鱼为中心”的研发、生产、加工、销售和服务的产业生态，建立了食品全程可溯源系统，为消费者提供安全营养、美味的健康食品。公司深度布局国内国外“双轨制”经营，打造线上线下全渠道运营模式，旗下拥有“鳗鲡堂”、“鳗小堂”等多个知名品牌，打通从源头到餐桌的全产业链条，产品远销欧洲、美洲、亚洲等七十几个国家和地区。报告期内，公司烤鳗产销量均创历史同期新高，今年上半年的烤鳗销售量已超过去年全年的销售量，烤鳗销量已进入快速增长期。随着公司食品超级工厂的全面投产，公司食品生产产能将得到充分释放，并形成鳗鲡全产业链完整有效闭环，从而构筑产品的核心竞争力。
　　当前公司战略发展布局的建设已基本到位，公司将坚持稳中求进工作总基调，聚焦主业，围绕公司整体战略部署多措并举提质增效，优“一产”、强“二产”、旺“三产”，聚焦“经营目标落实年”定位，加快世界级全产业链食品供应链平台建设，走渔牧产业经济“专精特”之路，争当国家现代农业（渔业）产业的引领者、示范者。","预计2024-01-01到2024-06-30业绩：净利润5000.00万元至6500.00万元;上年同期业绩:净利润-2811.61万元,基本每股收益-0.06元;",65000000.0,50000000.0,17,603668
688525.SH,佰维存储,64.25,3.379,305000000.0,扭亏,-296475400.0,202.875,20240619,"　　（一）本期业绩变化主要系行业复苏，公司业务大幅增长。2024年上半年公司紧紧把握行业上行机遇，大力拓展国内外一线客户，实现了市场与业务的成长突破，产品销量同比大幅提升。
　　（二）公司在存储解决方案研发、芯片设计、先进封测和测试设备等领域不断加大研发投入，持续增强核心竞争力，2024年半年度研发费用约为2.1亿元，同比增长超过170%。",预计2024-01-01到2024-06-30业绩：净利润28000万元至33000万元;增长幅度为194.44%至211.31%;上年同期业绩:净利润-29647.54万元;,330000000.0,280000000.0,17,688525
603617.SH,君禾股份,5.91,-3.273,34820000.0,大幅上升,15138600.0,130.0,20240619,"　　（一）主营业务的影响公司本次业绩预增主要系：公司主营家用水泵产品以出口为主，海外市场自2023年第四季度以来有所回暖，下游客户需求持续复苏，公司同期在手订单已恢复至历史较高水平，使得报告期内公司产品产销量、毛利率同比有效提升；同时，公司不断加强内部管理，提升整体运营能力，积极推进新项目的实施，有效支撑了当期业绩。
　　（二）非经常性损益影响非经常性损益对公司本次业绩预增没有较大影响。
　　（三）会计处理影响会计处理对公司本期业绩预增没有影响。","预计2024-01-01到2024-06-30业绩：净利润3179.00万元至3785.00万元;增长幅度为110%至150%;上年同期业绩:净利润1513.86万元,基本每股收益0.04元;",37850000.0,31790000.0,17,603617
300054.SZ,鼎龙股份,22.50,0.716,210917800.0,大幅上升,95871700.0,120.0,20240626,"　　2024年上半年度，公司经营业绩同比大幅上升，具体原因为：
　　1、受国内半导体及OLED显示面板行业下游稼动率以及公司产品市占率显著提升的影响，公司光电半导体板块业务（含半导体材料业务及集成电路芯片设计和应用业务）实现营业收入约6.4亿元（其中芯片业务收入已剔除内部抵消），营收占比从2023年的32%持续提升至约42%水平。其中：①CMP抛光垫销售约3.0亿，同比增长100.3%。其中今年第二季度实现销售收入约1.64亿元，环比增长21.93%，同比增长92.77%。CMP抛光垫销售大幅增加，产品核心上游原材料量产自主化，固定成本摊薄，净利润同比增加。②CMP抛光液、清洗液产品合计销售约0.77亿元，同比增长190.87%。其中今年第二季度实现销售收入约4,079万元，环比增长13.56%，同比增长179.13%。③YPI、PSPI等半导体显示材料业务合计销售约1.68亿元，同比增长234.56%。其中今年第二季度实现销售收入约9,825万元，环比增长39.93%，同比增长163.69%。显示材料的快速放量，也进一步加强公司整体盈利能力。公司半导体先进封装材料及晶圆光刻胶等其他新材料业务在客户端的验证均处于持续推进中，进展符合公司预期。
　　2、打印复印通用耗材业务保持稳步发展，本期预计实现营业收入约8.8亿元，同比略有增长。公司通过降本增效，产品结构优化等多方面政策提升产品毛利率，夯实公司在行业的竞争力。
　　3、非经常性损益影响预计本报告期非经常性损益约为2,000万元，主要是政府补助影响；去年同期非经常性损益金额为2,773.31万元。",预计2024-01-01到2024-06-30业绩：净利润20133.06万元至22050.50万元;增长幅度为110%至130%;上年同期业绩:净利润9587.17万元;,220505000.0,201330600.0,33,300054
688150.SH,莱特光电,18.28,-0.544,92323700.0,大幅上升,43743200.0,111.06,20240612,　　本期业绩变化主要系OLED下游市场需求持续增长，公司OLED终端材料收入同比大幅增长。同时，公司持续采取措施降本增效，进一步强化经营管理，提升生产效率和提高综合盈利能力。,预计2024-01-01到2024-06-30业绩：净利润8106.47万元至10358.27万元;增长幅度为85.32%至136.80%;上年同期业绩:净利润4374.32万元;,103582700.0,81064700.0,17,688150
