股票代码,股票简称,最新价,最新涨跌幅,个股热度[20240606],个股热度排名[20240606],market_code,code
301392.SZ,汇成真空,92.00,-11.590,3701910.0,1,33,301392
600501.SH,航天晨光,17.22,4.364,3351747.0,2,17,600501
600171.SH,上海贝岭,18.80,10.006,2675504.0,3,17,600171
601138.SH,工业富联,26.07,10.000,1926661.5,4,17,601138
002156.SZ,通富微电,23.58,3.877,1497948.5,5,33,002156
002607.SZ,中公教育,1.82,2.825,1426432.0,6,33,002607
301176.SZ,逸豪新材,22.56,20.000,1418844.0,7,33,301176
601012.SH,隆基绿能,17.18,-6.018,1413898.0,8,17,601012
002085.SZ,万丰奥威,14.12,-5.929,1124036.5,9,33,002085
600101.SH,明星电力,15.20,3.191,1106439.5,10,17,600101
601919.SH,中远海控,16.85,1.629,1084560.0,11,17,601919
001696.SZ,宗申动力,12.23,-4.078,1078952.5,12,33,001696
300641.SZ,正丹股份,26.65,2.225,1030886.0,13,33,300641
601127.SH,赛力斯,87.70,0.758,1008597.0,14,17,601127
605258.SH,协和电子,31.43,10.011,928430.0,15,17,605258
301306.SZ,西测测试,51.49,1.900,912136.0,16,33,301306
002869.SZ,金溢科技,25.05,5.164,890780.0,17,33,002869
300576.SZ,容大感光,39.09,4.968,770021.0,18,33,300576
000564.SZ,供销大集,2.02,-6.482,725145.5,19,33,000564
601020.SH,华钰矿业,15.00,3.377,721604.0,20,17,601020
000625.SZ,长安汽车,13.19,-2.585,716447.5,21,33,000625
300956.SZ,英力股份,21.60,-6.291,705747.0,22,33,300956
300293.SZ,蓝英装备,16.79,13.753,688659.0,23,33,300293
600895.SH,张江高科,19.99,2.303,654753.5,24,17,600895
601028.SH,玉龙股份,14.06,10.016,638181.0,25,17,601028
600900.SH,长江电力,28.03,0.250,611298.5,26,17,600900
000977.SZ,浪潮信息,36.71,2.370,593926.0,27,33,000977
600766.SH,退市园城,0.38,8.571,578725.5,28,21,600766
300552.SZ,万集科技,40.78,-1.759,571968.5,29,33,300552
002654.SZ,万润科技,10.96,-2.230,565586.0,30,33,002654
300040.SZ,九洲集团,7.06,1.437,563057.0,31,33,300040
300046.SZ,台基股份,16.00,2.894,536113.0,32,33,300046
000938.SZ,紫光股份,22.68,3.467,533587.5,33,33,000938
601136.SH,首创证券,21.13,0.956,508812.0,34,17,601136
300637.SZ,扬帆新材,9.78,-10.522,503529.5,35,33,300637
300739.SZ,明阳电路,13.31,20.018,492430.5,36,33,300739
603105.SH,芯能科技,10.40,6.014,486752.5,37,17,603105
000002.SZ,万科A,8.02,-1.110,482560.0,38,33,000002
002459.SZ,晶澳科技,14.13,-5.800,479767.5,39,33,002459
000037.SZ,深南电A,10.85,10.041,478915.0,40,33,000037
000519.SZ,中兵红箭,14.49,-3.142,476759.5,41,33,000519
603530.SH,神马电力,29.95,9.989,465549.0,42,17,603530
603259.SH,药明康德,42.58,-0.746,463045.5,43,17,603259
301361.SZ,众智科技,26.90,-14.873,456017.0,44,33,301361
300656.SZ,民德电子,25.68,20.000,449333.5,45,33,300656
002594.SZ,比亚迪,238.50,-0.951,436314.5,46,33,002594
600584.SH,长电科技,27.95,2.682,432815.0,47,17,600584
