股票代码,股票简称,最新价,最新涨跌幅,涨停[20240605],首次涨停时间[20240605],最终涨停时间[20240605],涨停明细数据[20240605],连续涨停天数[20240605],涨停原因类别[20240605],涨停封单量[20240605],涨停封单额[20240605],涨停封单量占成交量比[20240605],涨停封单量占流通a股比[20240605],涨停开板次数[20240605],a股市值(不含限售股)[20240605],几天几板[20240605],涨停类型[20240605],market_code,code
600171.SH,上海贝岭,17.69,10.012,涨停, 09:37:30, 09:39:30,"[{""code"":""600171.SH"",""time"":1717551450732,""openTime"":1717551480732,""duration"":30000,""updatedTime"":1717551480732,""firstVol"":2.04545E7,""highestVol"":2.04545E7,""firstVolDivLTGB"":0.02885290963555757,""firstVolDivVol"":0.5432303478331445,""highestVolDivLTGB"":0.02885290963555757,""highestVolDivVol"":0.5432303478331445},{""code"":""600171.SH"",""time"":1717551525732,""openTime"":1717551555732,""duration"":30000,""updatedTime"":1717551555732,""firstVol"":3.1076065E7,""highestVol"":3.1076065E7,""firstVolDivLTGB"":0.043835581181339726,""firstVolDivVol"":0.6203316032380459,""highestVolDivLTGB"":0.043835581181339726,""highestVolDivVol"":0.6203316032380459},{""code"":""600171.SH"",""time"":1717551570732,""openTime"":null,""duration"":1530735,""updatedTime"":1717553101467,""firstVol"":1.1196235E7,""highestVol"":3.3855857E7,""firstVolDivLTGB"":0.015793295202203277,""firstVolDivVol"":0.19413581353102033,""highestVolDivLTGB"":0.04775672750032312,""highestVolDivVol"":0.5751337846573887}]",1,集成电路设计+功率器件+汽车芯片+上海央企,1.71256E7,3.02951864E8,25.17416864173456,2.41571971573348,2,12540853200.000,首板涨停,放量涨停,17,600171
601929.SH,吉视传媒,1.18,10.280,涨停, 09:31:30, 09:40:00,"[{""code"":""601929.SH"",""time"":1717551090695,""openTime"":1717551120695,""duration"":30000,""updatedTime"":1717551120695,""firstVol"":5.319757E7,""highestVol"":5.319757E7,""firstVolDivLTGB"":0.015243781983044422,""firstVolDivVol"":1.0554943570138622,""highestVolDivLTGB"":0.015243781983044422,""highestVolDivVol"":1.0554943570138622},{""code"":""601929.SH"",""time"":1717551255696,""openTime"":1717551300697,""duration"":45001,""updatedTime"":1717551300697,""firstVol"":5.92505E7,""highestVol"":5.92505E7,""firstVolDivLTGB"":0.016978251156704594,""firstVolDivVol"":0.6747625800990518,""highestVolDivLTGB"":0.016978251156704594,""highestVolDivVol"":0.6747625800990518},{""code"":""601929.SH"",""time"":1717551330697,""openTime"":1717551585733,""duration"":255036,""updatedTime"":1717551585733,""firstVol"":4.8214492E7,""highestVol"":4.8214492E7,""firstVolDivLTGB"":0.0138158792680049,""firstVolDivVol"":0.45498542068481107,""highestVolDivLTGB"":0.0138158792680049,""highestVolDivVol"":0.45498542068481107},{""code"":""601929.SH"",""time"":1717551600733,""openTime"":null,""duration"":1500734,""updatedTime"":1717553101467,""firstVol"":3.65708E7,""highestVol"":6.2133053E7,""firstVolDivLTGB"":0.010479375320066705,""firstVolDivVol"":0.292641053903415,""highestVolDivLTGB"":0.017804247710430085,""highestVolDivVol"":0.479666131411918}]",1,其它,4.9779453E7,5.873975454E7,38.071960145240695,1.4264319380889139,3,4117950000.000,首板涨停,放量涨停,17,601929
003008.SZ,开普检测,17.13,10.019,涨停, 09:44:15, 09:45:00,"[{""code"":""003008.SZ"",""time"":1717551855733,""openTime"":1717551870733,""duration"":15000,""updatedTime"":1717551870733,""firstVol"":51290.0,""highestVol"":51290.0,""firstVolDivLTGB"":6.588452609609777E-4,""firstVolDivVol"":0.032555922365963094,""highestVolDivLTGB"":6.588452609609777E-4,""highestVolDivVol"":0.032555922365963094},{""code"":""003008.SZ"",""time"":1717551900838,""openTime"":null,""duration"":1200629,""updatedTime"":1717553101467,""firstVol"":4139040.0,""highestVol"":4139040.0,""firstVolDivLTGB"":0.05316800329358403,""firstVolDivVol"":2.074724446273477,""highestVolDivLTGB"":0.05316800329358403,""highestVolDivVol"":2.074724446273477}]",1,其它,2010650.0,3.44424345E7,57.73809335787222,2.5827787559976403,1,1333541810.000,首板涨停,放量涨停,33,003008
300417.SZ,南华仪器,8.05,19.970,涨停, 09:31:00, 09:34:15,"[{""code"":""300417.SZ"",""time"":1717551060695,""openTime"":1717551120695,""duration"":60000,""updatedTime"":1717551120695,""firstVol"":3.05831E7,""highestVol"":3.37738E7,""firstVolDivLTGB"":0.3483879781103296,""firstVolDivVol"":24.860266623313283,""highestVolDivLTGB"":0.38473489917969894,""highestVolDivVol"":23.058510275141668},{""code"":""300417.SZ"",""time"":1717551255696,""openTime"":null,""duration"":1845771,""updatedTime"":1717553101467,""firstVol"":2.425416E7,""highestVol"":2.425416E7,""firstVolDivLTGB"":0.2762917350812845,""firstVolDivVol"":4.982223189965778,""highestVolDivLTGB"":0.2762917350812845,""highestVolDivVol"":4.982223189965778}]",1,机动车检测设备+环境监测设备+碳中和,1.267986E7,1.0207287300000001E8,183.73040597912868,14.444287165532742,1,706666050.000,首板涨停,放量涨停,33,300417
002197.SZ,ST证通,3.23,4.870,涨停, 10:01:01, 10:05:01,"[{""code"":""002197.SZ"",""time"":1717552861466,""openTime"":1717552906466,""duration"":45000,""updatedTime"":1717552906466,""firstVol"":1520424.0,""highestVol"":1874024.0,""firstVolDivLTGB"":0.002845575705509438,""firstVolDivVol"":0.05524869186142638,""highestVolDivLTGB"":0.003507361871386942,""highestVolDivVol"":0.06806331972302289},{""code"":""002197.SZ"",""time"":1717553101467,""openTime"":null,""duration"":0,""updatedTime"":1717553101467,""firstVol"":166698.0,""highestVol"":166698.0,""firstVolDivLTGB"":3.119865109712898E-4,""firstVolDivVol"":0.005357008574530155,""highestVolDivLTGB"":3.119865109712898E-4,""highestVolDivVol"":0.005357008574530155}]",0,,166698.0,538434.54,0.5249447809407803,0.03119865109712898,1,1725826300.000,,,33,002197
002424.SZ,ST百灵,3.56,5.015,涨停, 09:30:15, 09:33:15,"[{""code"":""002424.SZ"",""time"":1717551015673,""openTime"":1717551135695,""duration"":120022,""updatedTime"":1717551135695,""firstVol"":5143723.0,""highestVol"":8076923.0,""firstVolDivLTGB"":0.004192741642114984,""firstVolDivVol"":0.5715280164365376,""highestVolDivLTGB"":0.00658364600937031,""highestVolDivVol"":0.8043422947764854},{""code"":""002424.SZ"",""time"":1717551195695,""openTime"":null,""duration"":1905772,""updatedTime"":1717553101467,""firstVol"":3817585.0,""highestVol"":9616485.0,""firstVolDivLTGB"":0.0031117825749585526,""firstVolDivVol"":0.17334468142454326,""highestVolDivLTGB"":0.007838570838724036,""highestVolDivVol"":0.406331719905367}]",1,其它,9382385.0,3.34012906E7,39.2746098894031,0.7647751694998932,1,4367465400.000,首板涨停,缩量涨停,33,002424
688288.SH,鸿泉物联,14.76,20.000,涨停, 10:03:46, 10:03:46,"[{""code"":""688288.SH"",""time"":1717553026467,""openTime"":null,""duration"":75000,""updatedTime"":1717553101467,""firstVol"":8206840.0,""highestVol"":8267271.0,""firstVolDivLTGB"":0.0817871177446526,""firstVolDivVol"":2.7445817115059645,""highestVolDivLTGB"":0.08238935652503909,""highestVolDivVol"":2.7553446167556923}]",1,,7528123.0,1.1111509548E8,246.50736726705466,7.50232101755642,0,1481076300.000,,,17,688288
002869.SZ,金溢科技,23.82,10.023,涨停, 09:30:00, 09:48:45,"[{""code"":""002869.SZ"",""time"":1717551000000,""openTime"":1717551360697,""duration"":360697,""updatedTime"":1717551360697,""firstVol"":1.11544E7,""highestVol"":1.11544E7,""firstVolDivLTGB"":0.07052688388846583,""firstVolDivVol"":6.9885345529728715,""highestVolDivLTGB"":0.07052688388846583,""highestVolDivVol"":6.9885345529728715},{""code"":""002869.SZ"",""time"":1717551495732,""openTime"":1717551510732,""duration"":15000,""updatedTime"":1717551510732,""firstVol"":2218500.0,""highestVol"":2218500.0,""firstVolDivLTGB"":0.01402710068731276,""firstVolDivVol"":0.13011640917185496,""highestVolDivLTGB"":0.01402710068731276,""highestVolDivVol"":0.13011640917185496},{""code"":""002869.SZ"",""time"":1717552125857,""openTime"":null,""duration"":975610,""updatedTime"":1717553101467,""firstVol"":1.11799E7,""highestVol"":1.32262E7,""firstVolDivLTGB"":0.07068811493084873,""firstVolDivVol"":0.41811967357800733,""highestVolDivLTGB"":0.0836264318731287,""highestVolDivVol"":0.49037838835089753}]",2,车路协同+智慧交通+无人驾驶+华为鸿蒙,1.11939E7,2.66638698E8,40.62042759823099,7.077663393450993,2,3767326600.000,2天2板,T字涨停||放量涨停,33,002869
000692.SZ,惠天热电,3.67,9.880,涨停, 09:32:45, 09:32:45,"[{""code"":""000692.SZ"",""time"":1717551165695,""openTime"":null,""duration"":1935772,""updatedTime"":1717553101467,""firstVol"":4.72887E7,""highestVol"":5.08837E7,""firstVolDivLTGB"":0.08875025759677484,""firstVolDivVol"":2.10318755754015,""highestVolDivLTGB"":0.09549726430367111,""highestVolDivVol"":2.250276399465775}]",2,撤销退市风险警示+供热,3.34606E7,1.22800402E8,133.77390775922728,6.279802298102178,0,1955482000.000,2天2板,放量涨停,33,000692
603528.SH,多伦科技,6.79,10.049,涨停, 09:30:45, 09:45:30,"[{""code"":""603528.SH"",""time"":1717551045673,""openTime"":1717551600733,""duration"":555060,""updatedTime"":1717551600733,""firstVol"":1.0126244E7,""highestVol"":1.5071444E7,""firstVolDivLTGB"":0.014344541414680032,""firstVolDivVol"":3.8648370136056083,""highestVolDivLTGB"":0.02134976726188218,""highestVolDivVol"":2.586574851771025},{""code"":""603528.SH"",""time"":1717551930838,""openTime"":null,""duration"":1170629,""updatedTime"":1717553101467,""firstVol"":1.7718633E7,""highestVol"":1.8903233E7,""firstVolDivLTGB"":0.0250996978623087,""firstVolDivVol"":0.8432446254355811,""highestVolDivLTGB"":0.02677776761451198,""highestVolDivVol"":0.8548336441335633}]",1,其它,1.3740633E7,9.329889807000001E7,56.981862065708015,1.946457927859719,1,4793265600.000,首板涨停,放量涨停,17,603528
